k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",cls_attention,baseline,0.5921478260546198,0.08111215233802796,False
2,"(8, 11)",cls_attention,baseline,6.403934538383607,0.5278217703104019,False
3,"(15, 20)",cls_attention,baseline,9.641332283050582,0.8207144737243652,False
4,"(11, 8)",cls_attention,baseline,13.99342204901411,1.0573517858982087,False
5,"(16, 28)",cls_attention,baseline,25.748845882543485,1.3767867147922517,False
6,"(11, 11)",initial_element_reinforcement,baseline,51.04848795273135,1.6476636826992035,False
7,"(11, 3)",initial_element_reinforcement,baseline,67.49056727006362,2.2468576192855836,False
8,"(14, 13)",initial_element_reinforcement,baseline,99.2819061468432,2.864988076686859,False
9,"(8, 9)",cls_attention,baseline,119.93881847445361,3.0455418825149536,False
10,"(15, 19)",initial_element_reinforcement,baseline,151.65995435170046,3.303005409240723,False
11,"(15, 8)",initial_element_reinforcement,baseline,165.8748940356083,3.4121871471405028,False
12,"(15, 21)",initial_element_reinforcement,baseline,176.10045056976415,3.518889605998993,False
13,"(20, 29)",sentence_beginning_salience,baseline,177.72255162558645,3.53362797498703,False
14,"(6, 25)",initial_element_reinforcement,baseline,196.3977685303833,3.728944706916809,False
15,"(11, 15)",sentence_beginning_salience,baseline,217.58188378652602,3.787124764919281,False
16,"(18, 21)",sentence_beginning_salience,baseline,226.8284244630467,3.8144853353500365,False
17,"(4, 8)",sentence_beginning_salience,baseline,271.6361156084652,3.908349609375,False
18,"(20, 16)",sentence_beginning_salience,baseline,267.0436229017672,3.7001503109931946,False
19,"(9, 0)",sentence_beginning_salience,baseline,281.89861556355083,4.011117672920227,False
20,"(18, 30)",sentence_beginning_salience,baseline,298.35250565752386,4.116769075393677,False
21,"(18, 7)",sentence_beginning_salience,baseline,299.59567862184474,4.159721612930298,False
22,"(18, 5)",sentence_beginning_salience,baseline,312.55844981985194,4.114059400558472,False
23,"(8, 12)",initial_element_reinforcement,baseline,340.89475747142717,4.332091760635376,False
24,"(19, 8)",sentence_beginning_salience,baseline,334.3183185782405,4.451307201385498,False
25,"(17, 3)",sentence_beginning_salience,baseline,359.0158150888135,4.201959013938904,False
26,"(15, 18)",sentence_beginning_salience,baseline,375.19538946093815,4.103585743904114,False
27,"(15, 10)",sentence_beginning_salience,baseline,377.6548923630136,4.217659378051758,False
28,"(17, 1)",sentence_beginning_salience,baseline,377.64479268836806,4.112717723846435,False
29,"(17, 0)",sentence_beginning_salience,baseline,401.14161342091813,4.154634642601013,False
30,"(17, 2)",sentence_beginning_salience,baseline,436.5931912602722,4.071844482421875,False
31,"(4, 28)",sentence_beginning_salience,baseline,485.3040815680988,4.0796599864959715,False
32,"(19, 9)",sentence_beginning_salience,baseline,486.02532704290115,4.140407824516297,False
33,"(18, 1)",sentence_beginning_salience,baseline,524.9871231451483,4.32006049156189,False
34,"(17, 4)",sentence_beginning_salience,baseline,547.2671734256362,4.4518431425094604,False
35,"(19, 12)",sentence_beginning_salience,baseline,536.9064837991015,4.348733830451965,False
