k,head,program,strategy,increase,kl_div,spike
1,"(5, 1)",cls_attention,baseline,8.74119759141136,0.4159648261964321,False
2,"(7, 2)",initial_element_reinforcement,baseline,18.45830199073935,0.8781044185161591,False
3,"(6, 9)",initial_element_reinforcement,baseline,22.6482460270446,1.1528878420591355,False
4,"(4, 11)",previous_attention,baseline,33.6642633648093,1.1866676568984986,False
5,"(9, 9)",sentence_beginning_salience,baseline,38.92163343947918,1.3669037699699402,False
6,"(7, 10)",sentence_beginning_salience,baseline,38.848256209412284,1.3751445233821868,False
7,"(9, 6)",sentence_beginning_salience,baseline,45.703341444481836,1.503324568271637,False
8,"(10, 8)",sentence_beginning_salience,baseline,50.55034847040493,1.6036868870258332,False
9,"(10, 10)",sentence_beginning_salience,baseline,57.52135898881884,1.6345471382141112,False
10,"(10, 1)",sentence_beginning_salience,baseline,64.10287144414055,1.7525384306907654,False
11,"(9, 11)",sentence_beginning_salience,baseline,65.70043707313339,1.827649223804474,False
12,"(3, 0)",sentence_beginning_salience,baseline,73.4819093348697,1.9035126090049743,False
13,"(8, 1)",sentence_beginning_salience,baseline,82.09422292261831,2.1028719186782836,False
14,"(10, 6)",sentence_beginning_salience,baseline,91.01317631850239,2.2447831869125365,False
15,"(7, 11)",sentence_beginning_salience,baseline,97.040008896179,2.4023027658462524,False
16,"(9, 4)",sentence_beginning_salience,baseline,115.90659992692095,2.5175700426101684,False
17,"(9, 1)",sentence_beginning_salience,baseline,130.7396067621999,2.8077213764190674,False
18,"(11, 9)",sentence_beginning_salience,baseline,150.9254543405353,3.110834527015686,False
19,"(5, 5)",sentence_beginning_salience,baseline,168.14866342246313,3.276190185546875,False
20,"(6, 10)",sentence_beginning_salience,baseline,206.33802658382515,3.5798373222351074,False
21,"(10, 2)",sentence_beginning_salience,baseline,210.5875988112503,3.550733709335327,False
22,"(3, 4)",sentence_beginning_salience,baseline,235.34872758751254,3.725823974609375,False
23,"(7, 7)",sentence_beginning_salience,baseline,254.83046144374748,3.8888270378112795,False
24,"(5, 9)",sentence_beginning_salience,baseline,285.4470726676776,4.20894570350647,False
25,"(10, 0)",sentence_beginning_salience,baseline,292.3948223373947,4.264598798751831,False
26,"(5, 0)",sentence_beginning_salience,baseline,339.07540720520154,4.773258924484253,False
27,"(7, 1)",sentence_beginning_salience,baseline,376.6700890991536,4.99685697555542,False
28,"(4, 10)",token_reinforcement,baseline,357.347001372944,4.556052732467651,False
29,"(9, 5)",token_reinforcement,baseline,380.48441656385074,4.664654636383057,False
30,"(6, 6)",token_reinforcement,baseline,424.90736906266113,5.134138917922973,False
31,"(10, 3)",sentence_beginning_salience,baseline,445.35192711534893,5.199150896072387,False
32,"(8, 3)",token_reinforcement,baseline,459.8914243334995,5.380304050445557,False
33,"(9, 8)",sentence_beginning_salience,baseline,507.8571385811165,5.606771564483642,False
34,"(7, 6)",token_reinforcement,baseline,549.4483465475403,5.872228908538818,False
35,"(8, 0)",token_reinforcement,baseline,544.2906128564855,6.020773029327392,False
36,"(8, 6)",sentence_beginning_salience,baseline,567.9391686826027,5.91379976272583,False
37,"(10, 11)",token_reinforcement,baseline,581.045135120319,5.942910957336426,False
38,"(9, 0)",token_reinforcement,baseline,621.1304786712083,6.051231765747071,False
39,"(4, 8)",token_reinforcement,baseline,670.533579294977,6.24642162322998,False
40,"(10, 7)",token_reinforcement,baseline,641.0870429804879,5.902945613861084,False
41,"(8, 9)",token_reinforcement,baseline,689.9245967629112,5.87296199798584,False
42,"(5, 11)",initial_token_reference_attention,baseline,739.2632935065825,5.9668724060058596,False
43,"(11, 4)",token_reinforcement,baseline,627.3829491362096,3.968323516845703,False
44,"(5, 8)",token_reinforcement,baseline,627.1078208364164,3.9333358287811278,False
45,"(5, 6)",token_reinforcement,baseline,637.0420914611427,4.1475160121917725,False
46,"(10, 5)",sentence_beginning_salience,baseline,655.471471096875,4.266595315933228,False
47,"(6, 3)",token_reinforcement,baseline,683.0639864814955,4.517634057998658,False
48,"(9, 7)",token_reinforcement,baseline,698.6616409111123,4.487475252151489,False
49,"(7, 4)",sentence_beginning_salience,baseline,718.0503293847537,4.526668453216553,False
50,"(1, 10)",uniform_lower_diagonal,baseline,751.696088576498,4.512056827545166,False
51,"(3, 10)",initial_token_reference_attention,baseline,770.7404108068249,4.642162847518921,False
52,"(11, 0)",uniform_lower_diagonal,baseline,801.3627593625947,4.5791239738464355,False
53,"(6, 1)",token_reinforcement,baseline,825.7616982525326,4.78870038986206,False
54,"(8, 10)",token_reinforcement,baseline,838.3134057364844,4.790413761138916,False
55,"(2, 7)",uniform_lower_diagonal,baseline,825.5514129817147,4.748318195343018,False
56,"(2, 11)",token_reinforcement,baseline,840.8591474365297,4.779188346862793,False
57,"(6, 4)",initial_token_reference_attention,baseline,870.2120503456774,4.8035743713378904,False
58,"(7, 9)",token_reinforcement,baseline,910.849344102456,4.972041320800781,False
59,"(1, 8)",uniform_lower_diagonal,baseline,945.2341690518963,4.881444120407105,False
60,"(1, 7)",uniform_lower_diagonal,baseline,944.2794618011974,4.74090690612793,False
61,"(6, 5)",token_reinforcement,baseline,939.2674681791534,4.647351169586182,False
62,"(7, 3)",token_reinforcement,baseline,966.8858177034444,4.867448329925537,False
63,"(10, 9)",token_reinforcement,baseline,967.117173717379,4.883201599121094,False
64,"(11, 10)",initial_token_reference_attention,baseline,992.5287968840046,4.932623863220215,False
65,"(2, 1)",token_reinforcement,baseline,991.0408755062108,5.008863544464111,False
