k,head,program,strategy,increase,kl_div,spike
1,"(5, 1)",cls_attention,smart,0.5649295062329143,0.0016699863830581308,False
2,"(7, 2)",initial_element_reinforcement,smart,0.5649295062329143,0.0016699863830581308,False
3,"(6, 9)",initial_element_reinforcement,smart,0.5649295062329143,0.0016699863830581308,False
4,"(4, 11)",previous_attention,smart,1.4040812984567823,0.0022838733857497573,False
5,"(9, 9)",sentence_beginning_salience,smart,1.3548154542926014,0.003426951775327325,False
6,"(7, 10)",sentence_beginning_salience,smart,2.1236485571937025,0.0044410762842744585,False
7,"(9, 6)",sentence_beginning_salience,smart,2.3723567430419967,0.00622828914783895,False
8,"(10, 8)",sentence_beginning_salience,smart,2.2843535709214198,0.007520710304379463,False
9,"(10, 10)",sentence_beginning_salience,smart,2.810255621716126,0.009629240073263646,False
10,"(10, 1)",sentence_beginning_salience,smart,3.5498482624394816,0.011115331389009952,False
11,"(9, 11)",sentence_beginning_salience,smart,3.6438971982227635,0.01232584472745657,False
12,"(3, 0)",sentence_beginning_salience,smart,4.232775735045678,0.014053805731236935,False
13,"(8, 1)",sentence_beginning_salience,smart,5.324081698695904,0.016923345066606997,False
14,"(10, 6)",sentence_beginning_salience,smart,5.796457592502517,0.021365542337298392,False
15,"(7, 11)",sentence_beginning_salience,smart,6.790428062781361,0.024288260377943516,False
16,"(9, 4)",sentence_beginning_salience,smart,6.357277437006029,0.025789200142025948,False
17,"(9, 1)",sentence_beginning_salience,smart,7.280506576200665,0.02778701242059469,False
18,"(11, 9)",sentence_beginning_salience,smart,7.916592944898608,0.028748130798339842,False
19,"(5, 5)",sentence_beginning_salience,smart,7.740018154126986,0.030107113346457482,False
20,"(6, 10)",sentence_beginning_salience,smart,7.814795151000487,0.0370405662804842,False
21,"(10, 2)",sentence_beginning_salience,smart,7.923592355755727,0.03946934193372727,False
22,"(0, 1)",lexical_diversity_focus,smart,7.925523249233956,0.03890868425369263,False
23,"(11, 5)",sentence_beginning_salience,smart,7.726128271442327,0.04025423601269722,False
24,"(3, 4)",sentence_beginning_salience,smart,8.248472189352215,0.04298516437411308,False
25,"(7, 7)",sentence_beginning_salience,smart,8.585593309324235,0.04658688232302666,False
26,"(5, 9)",sentence_beginning_salience,smart,9.124689151615495,0.06027347445487976,False
27,"(10, 0)",sentence_beginning_salience,smart,9.31147471845387,0.06550427675247192,False
28,"(5, 0)",sentence_beginning_salience,smart,10.498787368447433,0.07118158638477326,False
29,"(7, 1)",sentence_beginning_salience,smart,11.123669899192006,0.07411594092845916,False
30,"(4, 10)",token_reinforcement,smart,11.93107301291041,0.09252091124653816,False
31,"(8, 11)",sentence_beginning_salience,smart,12.361546455167348,0.08663905635476113,False
32,"(9, 5)",token_reinforcement,smart,12.3764518908798,0.07703795805573463,False
33,"(6, 6)",token_reinforcement,smart,12.441893481489615,0.07720463946461678,False
34,"(10, 3)",sentence_beginning_salience,smart,12.269232188277353,0.08236714452505112,False
35,"(0, 9)",uniform_lower_diagonal,smart,12.655975856614058,0.07777956575155258,False
36,"(8, 3)",token_reinforcement,smart,12.486274044643972,0.08061069920659066,False
37,"(9, 8)",sentence_beginning_salience,smart,12.62339420011568,0.08528480306267738,False
38,"(11, 1)",token_reinforcement,smart,12.068266548167532,0.08420876562595367,False
39,"(11, 7)",token_reinforcement,smart,12.4200607948195,0.11009887307882309,False
40,"(7, 6)",token_reinforcement,smart,13.097246847511405,0.11083856672048568,False
41,"(8, 0)",token_reinforcement,smart,13.790184809776576,0.11582735776901246,False
42,"(0, 5)",lexical_diversity_focus,smart,13.746115371960112,0.11431409120559692,False
43,"(6, 2)",token_reinforcement,smart,13.411599203174308,0.11592641323804856,False
44,"(0, 3)",rare_word_dominance,smart,13.411510916233553,0.11644974797964096,False
45,"(0, 11)",uniform_lower_diagonal,smart,12.461119709233175,0.11304574757814408,False
46,"(8, 6)",sentence_beginning_salience,smart,13.262410385869194,0.12091575264930725,False
47,"(4, 4)",token_reinforcement,smart,14.074138237197706,0.12365230321884155,False
48,"(10, 11)",token_reinforcement,smart,14.481697818118684,0.1264999806880951,False
49,"(9, 0)",token_reinforcement,smart,15.506473840853307,0.1325963780283928,False
50,"(4, 2)",token_reinforcement,smart,15.227418206564513,0.14001598060131074,False
51,"(4, 8)",token_reinforcement,smart,16.38532822645818,0.14165549278259276,False
52,"(10, 7)",token_reinforcement,smart,17.051393582614775,0.1573295846581459,False
53,"(9, 2)",token_reinforcement,smart,16.56886278466036,0.15728771090507507,False
54,"(8, 9)",token_reinforcement,smart,17.03442721298277,0.16045351773500444,False
55,"(5, 11)",initial_token_reference_attention,smart,17.8047249428459,0.16369036883115767,False
56,"(11, 4)",token_reinforcement,smart,17.561239039313712,0.17705748677253724,False
57,"(5, 8)",token_reinforcement,smart,18.938867993334238,0.19034581035375595,False
58,"(5, 6)",token_reinforcement,smart,20.007520620648318,0.2172408327460289,False
59,"(10, 5)",sentence_beginning_salience,smart,19.810452082851725,0.22270512133836745,False
60,"(0, 10)",uniform_lower_diagonal,smart,20.027548931407534,0.22202094346284867,False
61,"(6, 3)",token_reinforcement,smart,20.224870919232373,0.24304557144641875,False
62,"(9, 7)",token_reinforcement,smart,20.310937515633757,0.2581800907850266,False
63,"(7, 4)",sentence_beginning_salience,smart,21.667515519018934,0.242222598195076,False
64,"(1, 10)",uniform_lower_diagonal,smart,21.76747496294066,0.24045075327157975,False
65,"(3, 10)",initial_token_reference_attention,smart,22.63090109633363,0.2572878450155258,False
66,"(11, 0)",uniform_lower_diagonal,smart,22.876826059398027,0.26269708573818207,False
67,"(6, 1)",token_reinforcement,smart,23.97928123667725,0.2507600799202919,False
68,"(8, 10)",token_reinforcement,smart,25.366038288224395,0.26528434455394745,False
69,"(2, 7)",uniform_lower_diagonal,smart,25.2854771273495,0.2632594883441925,False
70,"(2, 11)",token_reinforcement,smart,24.494998200264128,0.25201659798622134,False
71,"(5, 7)",token_reinforcement,smart,24.455986270017423,0.2776886120438576,False
72,"(0, 2)",uniform_lower_diagonal,smart,24.586204624497405,0.28104702979326246,False
73,"(6, 4)",initial_token_reference_attention,smart,25.19225495614745,0.28775291293859484,False
74,"(7, 9)",token_reinforcement,smart,26.279000836756147,0.28619654178619386,False
75,"(1, 8)",uniform_lower_diagonal,smart,26.482390097542822,0.2827671006321907,False
76,"(1, 7)",uniform_lower_diagonal,smart,26.42164404006308,0.2774613469839096,False
77,"(6, 5)",token_reinforcement,smart,26.03713009988379,0.2868282303214073,False
78,"(7, 3)",token_reinforcement,smart,26.216497537451705,0.3194067984819412,False
79,"(1, 11)",lexical_diversity_focus,smart,26.105238522885276,0.3211698353290558,False
80,"(10, 9)",token_reinforcement,smart,27.861640653298217,0.33282422125339506,False
81,"(11, 10)",initial_token_reference_attention,smart,28.736168760493193,0.33855712562799456,False
82,"(2, 1)",token_reinforcement,smart,29.436159336031615,0.3317863970994949,False
83,"(2, 10)",uniform_lower_diagonal,smart,30.092427581044497,0.3330734044313431,False
84,"(10, 4)",token_reinforcement,smart,31.223622594252248,0.3439256727695465,False
85,"(1, 4)",uniform_lower_diagonal,smart,31.929427338312696,0.3401915967464447,False
86,"(0, 0)",uniform_lower_diagonal,smart,31.90413836853319,0.33424765765666964,False
